sentence,manual annotation,predicted annotation
හැමෝම මේ ගැන සාකච්ඡා කරනවා .,"[ හැමෝම ARG0 , මේ ARG1 , ගැන ARG1 , සාකච්ඡා discuss.01 , කරනවා discuss.01 , . O ]","[ හැමෝම ARG0 , මේ ARG1 , ගැන ARG1 , සාකච්ඡා discuss.01 , කරනවා discuss.01 , . O ]"
මෙය මගේ දෙවන කරුණයි . ,"[ මෙය ARG1 , මගේ ARG2 , දෙවන ARG2 , කරුණයි ARG2 , . O ]",[ ]
එබැවින් මම මෙම වාර්තාවට විරුද්ධව ඡන්දය දුන්නෙමි .,"[ එබැවින් ARGM-DIS , මම ARG0 , මෙම ARG1 , වාර්තාවට ARG1 , විරුද්ධව ARG1 , ඡන්දය vote.01 , දුන්නෙමි vote.01 , . O ] , [ එබැවින් O , මම O , මෙම O , වාර්තාවට O , විරුද්ධව O , ඡන්දය O , දුන්නෙමි have.01 , . O ]","[ එබැවින් ARGM-DIS , මම ARG0 , මෙම ARG1 , වාර්තාවට ARG1 , විරුද්ධව ARG1 , ඡන්දය vote.01 , දුන්නෙමි O , . O ]"
යුරෝපීය සංගමයට එහි උදව් කළ හැකිය .,"[ යුරෝපීය ARG0 , සංගමයට ARG0 , එහි ARGM-LOC , උදව් help.01 , කළ help.01 , හැකිය ARGM-MOD , . O ]","[ යුරෝපීය ARG1 , සංගමයට ARG2 , එහි ARG2 , උදව් help.01 , කළ help.01 , හැකිය ARGM-MOD , . O ]"
මට ඔබ වෙනුවෙන් පිළිතුරු කිහිපයක් තිබේ .,"[ මට ARG0 , ඔබ ARG1 , වෙනුවෙන් ARG1 , පිළිතුරු ARG1 , කිහිපයක් ARG1 , තිබේ have.03 , . O ]","[ මට ARG0 , ඔබ ARG0 , වෙනුවෙන් ARG1 , පිළිතුරු answer.01 , කිහිපයක් ARG1 , තිබේ O , . O ], [ මට ARG0 , ඔබ ARG0 , වෙනුවෙන් ARG1 , පිළිතුරු ARG1 , කිහිපයක් ARG1 , තිබේ be.02 , . O ]"
එය තවත් බොහෝ දේ කළ යුතුව තිබුණි .,"[ එය ARG0 , තවත් ARG1 , බොහෝ O , දේ O , කළ do.02 , යුතුව O , තිබුණි O , . O ] , [ එය O , තවත් O , බොහෝ O , දේ O , කළ O , යුතුව O , තිබුණි have.01 , . O ]","[ එය ARG1 , තවත් ARG1 , බොහෝ ARG1 , දේ ARG1 , කළ do.02 , යුතුව O , තිබුණි O , . O ], [ එය ARG1 , තවත් ARG1 , බොහෝ O , දේ O , කළ O , යුතුව O , තිබුණි have.01 , . O ]"
මෙම කොන්ත්‍රාත්තුව දීර්ඝ කිරීමට කොමසාරිස්වරයාට හේතු වූයේ කුමක්ද ?,"[ මෙම ARG1 , කොන්ත්‍රාත්තුව ARG1 , දීර්ඝ extend.01 , කිරීමට extend.01 , කොමසාරිස්වරයාට ARG0 , හේතු O , වූයේ O , කුමක්ද O , ? O  ] , [ මෙම ARG2 , කොන්ත්‍රාත්තුව ARG2 , දීර්ඝ ARG2 , කිරීමට ARG2 , කොමසාරිස්වරයාට ARG1 , හේතු lead.03 , වූයේ lead.03 , කුමක්ද ARG0 , ? O  ]","[ මෙම ARG1 , කොන්ත්\u200dරාත්තුව ARG1 , දීර්ඝ ARG1 , කිරීමට ARG1 , කොමසාරිස්වරයාට ARG1 , හේතු ARG1 , වූයේ happen.01 , කුමක්ද ARG1 , ? O , . O ]"
යුරෝ බිලියන නවයක් දැනටමත් මේසය මත තිබේ .,"[ යුරෝ ARG1 , බිලියන ARG1 , නවයක් ARG1 , දැනටමත් ARGM-TMP , මේසය ARG2 , මත ARG2 , තිබේ be.01 , . O ]","[ යුරෝ ARG1 , බිලියන ARG1 , නවයක් ARG1 , දැනටමත් ARGM-TMP , මේසය ARG1 , මත ARG1 , තිබේ be.02 , . O ]"
මගේ රටට මධ්‍යධරණී මුහුද ගැන උනන්දුවක් ඇත .,"[ මගේ ARG0 , රටට ARG0 , මධ්‍යධරණී ARG1 , මුහුද ARG1 , ගැන ARG1 , උනන්දුවක් ARG1 , ඇත have.03 , . O ]","[ මගේ ARG0 , රටට ARG0 , මධ්\u200dයධරණී ARG0 , මුහුද O , ගැන O , උනන්දුවක් O , ඇත have.01 , . O ]"
පිටසක්වලභාවය පිළිබඳ ප්‍රශ්න ද මට ඇත .,"[ පිටසක්වලභාවය O , පිළිබඳ O , ප්‍රශ්න O , ද O , මට O , ඇත have.01 , . O ]","[ පිටසක්වලභාවය ARG1 , පිළිබඳ ARG1 , ප්\u200dරශ්න ARG1 , ද ARGM-DIS , මට ARG0 , ඇත have.03 , . O ]"
